"ID","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Trans_Amt","Total_Trans_Ct","Avg_Utilization_Ratio"
714073983,"Existing Customer",47,"M",2,"Unknown","Single","$40K - $60K",36,6,3,3,7327,0,7327,1788,46,0
718076733,"Existing Customer",43,"M",1,"Graduate","Single","$60K - $80K",31,4,3,3,25824,1170,24654,3101,73,0.045
710511858,"Existing Customer",58,"F",0,"Unknown","Married","Less than $40K",36,3,3,3,3832,1439,2393,4741,88,0.376
766273533,"Existing Customer",53,"M",2,"Uneducated","Unknown","$80K - $120K",46,3,6,3,17190,1736,15454,15055,117,0.101
779249583,"Existing Customer",56,"F",1,"Graduate","Married","Less than $40K",38,4,3,3,2578,2462,116,1378,29,0.955
711566208,"Existing Customer",58,"F",3,"Graduate","Married","Less than $40K",36,2,2,2,5023,1857,3166,14111,98,0.37
714267858,"Existing Customer",44,"F",2,"High School","Single","Unknown",37,6,2,1,4559,1680,2879,4934,76,0.369
716510658,"Attrited Customer",50,"F",0,"Doctorate","Single","Less than $40K",38,4,3,3,2595,2353,242,2526,41,0.907
716673258,"Existing Customer",60,"F",1,"Unknown","Single","Less than $40K",36,1,1,3,2347,1488,859,3977,83,0.634
708694983,"Existing Customer",55,"F",1,"Uneducated","Unknown","Less than $40K",36,1,2,1,3150,2222,928,14750,96,0.705
708314808,"Existing Customer",53,"F",2,"College","Married","Unknown",41,5,1,3,5659,1393,4266,1570,40,0.246
770938533,"Existing Customer",45,"M",1,"College","Unknown","$120K +",32,3,1,3,3304,1370,1934,3914,70,0.415
716995083,"Existing Customer",52,"M",2,"High School","Single","$80K - $120K",44,6,2,4,2650,1049,1601,4218,64,0.396
779523258,"Existing Customer",34,"M",2,"Graduate","Married","$40K - $60K",17,6,2,1,3323,1062,2261,4610,78,0.32
779065458,"Existing Customer",56,"M",1,"High School","Married","$120K +",37,4,1,3,9257,0,9257,4212,72,0
713206683,"Attrited Customer",40,"M",4,"Graduate","Single","$80K - $120K",22,3,1,3,34516,0,34516,1028,26,0
714528258,"Existing Customer",46,"M",2,"Graduate","Divorced","$60K - $80K",39,3,1,1,3299,870,2429,4904,75,0.264
716455683,"Existing Customer",40,"F",3,"High School","Single","Less than $40K",36,3,2,3,15534,726,14808,1279,28,0.047
788920308,"Existing Customer",51,"F",2,"High School","Married","Less than $40K",37,3,2,1,2258,1250,1008,4368,75,0.554
717602733,"Existing Customer",47,"M",3,"Doctorate","Single","Less than $40K",35,4,3,2,1842,0,1842,4165,67,0
806165208,"Existing Customer",47,"M",1,"Doctorate","Divorced","$60K - $80K",42,5,2,0,20979,1800,19179,1178,27,0.086
715776033,"Existing Customer",46,"M",5,"Uneducated","Single","$60K - $80K",33,4,1,3,3135,0,3135,4116,68,0
713886333,"Attrited Customer",47,"M",2,"High School","Married","$60K - $80K",39,2,3,1,18660,728,17932,1682,43,0.039
780881358,"Existing Customer",35,"M",3,"Graduate","Single","$40K - $60K",17,6,3,2,16659,0,16659,2551,74,0
720096558,"Existing Customer",55,"F",2,"Graduate","Married","Less than $40K",42,5,3,3,2216,1034,1182,1540,36,0.467
766795983,"Existing Customer",46,"F",1,"Unknown","Single","Less than $40K",40,4,2,2,1438.3,0,1438.3,4692,91,0
780055308,"Existing Customer",43,"F",3,"College","Single","Less than $40K",28,3,1,3,1438.3,0,1438.3,4482,54,0
715566408,"Existing Customer",45,"F",3,"Doctorate","Married","Less than $40K",36,1,2,2,2143,1479,664,4404,77,0.69
780598383,"Existing Customer",35,"M",3,"Doctorate","Single","$40K - $60K",23,4,3,2,2148,1545,603,2167,65,0.719
717477783,"Attrited Customer",49,"F",4,"Unknown","Single","Less than $40K",37,1,2,2,10195,2389,7806,1563,36,0.234
788782008,"Existing Customer",49,"F",3,"Unknown","Married","Less than $40K",30,4,3,2,15987,0,15987,4146,69,0
825756333,"Existing Customer",55,"F",0,"Uneducated","Married","Less than $40K",51,4,3,1,2041,1885,156,2118,48,0.924
712790358,"Attrited Customer",39,"F",3,"Uneducated","Married","Unknown",30,6,3,4,3023,1348,1675,2219,44,0.446
715078383,"Existing Customer",64,"F",0,"Graduate","Married","Unknown",36,3,1,3,7646,1010,6636,1667,47,0.132
780078333,"Existing Customer",56,"M",2,"Unknown","Married","$60K - $80K",41,3,2,2,5887,659,5228,1193,26,0.112
780360558,"Existing Customer",33,"F",1,"Graduate","Married","Less than $40K",20,2,2,2,1507,0,1507,4698,87,0
709399908,"Existing Customer",34,"F",2,"Graduate","Single","$40K - $60K",23,4,2,2,7594,1442,6152,15026,99,0.19
767376483,"Existing Customer",27,"F",1,"College","Married","Less than $40K",20,5,3,3,1893,0,1893,5176,91,0
778180158,"Existing Customer",44,"M",4,"Doctorate","Divorced","$80K - $120K",34,5,1,4,7150,1887,5263,3636,69,0.264
819363708,"Existing Customer",43,"M",1,"Post-Graduate","Single","$60K - $80K",38,4,2,3,2387,1482,905,3909,67,0.621
717225258,"Existing Customer",35,"M",2,"Graduate","Single","$120K +",27,6,2,2,13655,1048,12607,2383,59,0.077
708710283,"Existing Customer",45,"M",5,"Doctorate","Married","$120K +",36,6,1,4,34516,2038,32478,4067,75,0.059
710756133,"Existing Customer",40,"F",3,"Unknown","Married","Less than $40K",31,5,6,1,1811,821,990,4290,73,0.453
710574558,"Existing Customer",47,"M",4,"Graduate","Single","$80K - $120K",41,5,3,2,26442,1642,24800,1403,40,0.062
772198983,"Existing Customer",53,"F",2,"Graduate","Married","$40K - $60K",42,3,5,1,3024,1649,1375,4463,89,0.545
715842183,"Existing Customer",42,"F",5,"High School","Married","Less than $40K",35,5,4,3,1514,745,769,4004,69,0.492
709406733,"Existing Customer",46,"M",3,"Graduate","Divorced","$80K - $120K",36,2,2,1,20434,1504,18930,13280,106,0.074
757256358,"Existing Customer",45,"M",3,"Graduate","Single","$60K - $80K",38,1,3,3,3243,1580,1663,15710,122,0.487
718216008,"Existing Customer",48,"M",3,"Graduate","Married","$60K - $80K",38,5,2,3,16920,2157,14763,3275,60,0.127
712431183,"Existing Customer",52,"F",2,"Uneducated","Single","Less than $40K",37,4,3,1,2164,0,2164,5282,80,0
713907633,"Existing Customer",43,"M",3,"College","Unknown","$60K - $80K",36,2,1,2,5397,1265,4132,7791,84,0.234
715374558,"Existing Customer",26,"M",0,"College","Divorced","Less than $40K",36,5,2,3,4150,456,3694,2483,74,0.11
778567983,"Existing Customer",50,"F",2,"Graduate","Single","$40K - $60K",43,4,1,3,1438.3,0,1438.3,4512,77,0
810261633,"Existing Customer",44,"M",4,"Graduate","Single","$60K - $80K",39,2,2,3,9682,1727,7955,14991,95,0.178
711515433,"Existing Customer",55,"F",2,"Unknown","Single","Less than $40K",36,3,1,2,2850,2517,333,4320,85,0.883
712755783,"Existing Customer",49,"F",1,"Graduate","Divorced","$40K - $60K",40,3,2,3,1438.3,0,1438.3,3886,77,0
771719283,"Existing Customer",39,"F",4,"Doctorate","Married","Less than $40K",27,2,1,1,8587,1324,7263,8854,92,0.154
718504983,"Existing Customer",45,"F",2,"Graduate","Married","Less than $40K",37,6,2,2,6091,0,6091,3340,60,0
735008958,"Existing Customer",42,"M",5,"Unknown","Married","$60K - $80K",35,6,3,2,13650,1253,12397,1703,53,0.092
753795633,"Attrited Customer",48,"F",2,"Uneducated","Married","Less than $40K",41,5,3,2,2964,2517,447,2327,38,0.849
716458983,"Existing Customer",60,"M",0,"High School","Married","$40K - $60K",36,5,1,3,3281,837,2444,1424,29,0.255
719407983,"Existing Customer",37,"F",0,"Post-Graduate","Married","Less than $40K",25,4,3,2,2061,1483,578,2400,60,0.72
714886533,"Existing Customer",60,"F",2,"High School","Married","Less than $40K",36,4,3,2,3460,2517,943,1752,34,0.727
708580908,"Existing Customer",56,"M",3,"High School","Married","$60K - $80K",37,3,3,3,14551,2517,12034,1373,35,0.173
713906508,"Existing Customer",42,"F",3,"Unknown","Single","Less than $40K",36,6,3,3,2837,834,2003,3892,69,0.294
788776008,"Existing Customer",43,"M",3,"College","Married","$80K - $120K",24,6,3,1,4726,1161,3565,4683,91,0.246
709110633,"Existing Customer",41,"M",1,"Graduate","Single","$80K - $120K",29,5,1,3,21684,1748,19936,1329,24,0.081
719862258,"Existing Customer",38,"F",2,"Uneducated","Single","Unknown",28,2,3,3,5666,1393,4273,5015,90,0.246
710532258,"Existing Customer",48,"F",3,"High School","Divorced","Less than $40K",36,1,1,1,2185,1495,690,4906,83,0.684
779310033,"Attrited Customer",42,"F",4,"Doctorate","Married","Less than $40K",24,3,2,3,4304,0,4304,1788,36,0
719685408,"Attrited Customer",40,"M",2,"Uneducated","Married","$60K - $80K",29,3,2,2,6332,318,6014,2505,43,0.05
719563158,"Existing Customer",48,"M",2,"High School","Married","$40K - $60K",36,6,3,2,4207,1921,2286,3850,75,0.457
789983133,"Existing Customer",31,"M",2,"Graduate","Unknown","$80K - $120K",22,2,3,2,34516,1780,32736,14185,98,0.052
716009883,"Existing Customer",41,"F",1,"Graduate","Single","$40K - $60K",28,1,3,1,8482,585,7897,4245,74,0.069
712365483,"Existing Customer",51,"M",1,"Graduate","Single","$60K - $80K",43,5,2,4,9619,1731,7888,3690,76,0.18
714151533,"Existing Customer",55,"F",1,"Graduate","Married","$40K - $60K",46,5,4,4,4589,1622,2967,1569,33,0.353
719391783,"Existing Customer",46,"M",4,"Uneducated","Married","$40K - $60K",35,3,2,2,9149,1566,7583,1790,60,0.171
779866458,"Existing Customer",40,"F",5,"Uneducated","Married","Less than $40K",24,6,1,1,2038,793,1245,3513,67,0.389
827888433,"Existing Customer",43,"M",4,"Uneducated","Single","$40K - $60K",39,5,2,2,6648,2242,4406,2089,60,0.337
808527183,"Existing Customer",46,"F",3,"College","Married","Less than $40K",41,4,1,1,1489,949,540,4669,94,0.637
714505683,"Existing Customer",51,"M",4,"Uneducated","Divorced","$80K - $120K",38,5,3,2,34516,0,34516,3250,63,0
717596883,"Existing Customer",58,"F",0,"Graduate","Single","$40K - $60K",39,4,3,2,5530,1233,4297,5270,78,0.223
720443358,"Existing Customer",50,"M",2,"Unknown","Married","$60K - $80K",36,1,3,1,8014,1250,6764,6950,84,0.156
721072908,"Existing Customer",51,"M",0,"Doctorate","Single","$60K - $80K",36,6,2,3,3232,1346,1886,5102,69,0.416
719136183,"Existing Customer",48,"F",3,"Uneducated","Married","Less than $40K",38,6,1,3,3541,1444,2097,3410,69,0.408
717591483,"Existing Customer",52,"F",3,"Graduate","Single","Less than $40K",44,4,1,3,3416,2044,1372,1924,48,0.598
709567758,"Existing Customer",40,"F",3,"Uneducated","Married","Less than $40K",29,4,1,2,2490,2225,265,3339,71,0.894
719532108,"Existing Customer",40,"F",5,"High School","Married","Less than $40K",31,4,2,2,2813,2208,605,4491,68,0.785
721344858,"Existing Customer",26,"M",0,"Uneducated","Single","Less than $40K",13,4,4,4,2237,451,1786,2192,36,0.202
716556258,"Existing Customer",50,"F",3,"Doctorate","Single","Less than $40K",39,6,1,3,9966,0,9966,4401,60,0
721067658,"Existing Customer",40,"M",4,"Graduate","Married","$60K - $80K",36,6,1,3,27436,642,26794,4051,81,0.023
710066133,"Attrited Customer",30,"M",0,"Graduate","Single","Less than $40K",36,4,3,3,12833,0,12833,9619,75,0
710401458,"Existing Customer",53,"M",3,"Unknown","Married","$80K - $120K",40,2,2,3,16747,0,16747,4350,76,0
713144208,"Attrited Customer",51,"F",0,"High School","Married","Unknown",42,1,4,4,9989,568,9421,2053,49,0.057
778924158,"Existing Customer",45,"F",2,"High School","Single","Less than $40K",26,4,3,4,1438.3,0,1438.3,3749,77,0
718416858,"Existing Customer",42,"M",5,"Graduate","Married","$60K - $80K",34,3,3,3,10607,2517,8090,1903,40,0.237
780588258,"Existing Customer",53,"F",5,"Unknown","Married","Less than $40K",42,1,2,2,4021,1745,2276,14567,120,0.434
709319658,"Attrited Customer",48,"F",4,"Graduate","Single","Less than $40K",37,5,3,4,15987,0,15987,7681,71,0
826775058,"Existing Customer",43,"F",3,"Uneducated","Married","Less than $40K",39,4,1,2,4175,2517,1658,1520,36,0.603
793412958,"Existing Customer",44,"M",4,"Unknown","Married","$60K - $80K",38,3,1,3,2440,1501,939,4382,88,0.615
794494308,"Existing Customer",42,"M",3,"Uneducated","Married","$120K +",23,3,4,3,34516,2070,32446,13781,102,0.06
773364483,"Existing Customer",45,"F",4,"Doctorate","Unknown","Unknown",39,4,1,2,34516,1298,33218,1906,39,0.038
721164483,"Existing Customer",46,"F",2,"College","Married","$40K - $60K",34,2,1,3,1441,642,799,4894,84,0.446
718637208,"Existing Customer",54,"F",2,"Graduate","Single","Less than $40K",43,3,2,1,2019,1387,632,1689,36,0.687
805516608,"Existing Customer",50,"M",1,"Graduate","Married","$80K - $120K",45,2,1,3,34516,925,33591,7755,84,0.027
716864733,"Existing Customer",47,"M",3,"College","Married","$120K +",27,6,3,3,34516,2315,32201,1805,46,0.067
715585158,"Existing Customer",58,"M",1,"Graduate","Married","$60K - $80K",46,3,3,2,10021,1617,8404,1275,25,0.161
713692683,"Existing Customer",41,"M",2,"Uneducated","Married","$60K - $80K",13,4,2,2,2243,1944,299,3216,77,0.867
773389908,"Existing Customer",37,"F",3,"High School","Single","Less than $40K",31,5,1,3,1438.3,0,1438.3,2075,66,0
711786108,"Existing Customer",52,"M",1,"Graduate","Married","$60K - $80K",43,3,3,2,7187,2014,5173,1159,26,0.28
770952933,"Existing Customer",53,"F",1,"Unknown","Married","Less than $40K",40,4,2,4,2383,1938,445,1616,37,0.813
709579383,"Existing Customer",58,"M",1,"Uneducated","Married","$80K - $120K",50,5,3,2,6978,1148,5830,1362,26,0.165
801036033,"Existing Customer",31,"M",0,"High School","Single","$40K - $60K",25,3,2,3,4493,1388,3105,17744,104,0.309
767653233,"Existing Customer",48,"M",3,"Graduate","Married","$60K - $80K",42,6,1,3,6085,930,5155,3154,59,0.153
719845908,"Existing Customer",52,"F",3,"Uneducated","Single","Less than $40K",36,2,1,3,3240,0,3240,4803,83,0
712184133,"Existing Customer",41,"F",5,"Graduate","Married","Less than $40K",24,2,3,3,2178,1408,770,5089,80,0.646
767712558,"Attrited Customer",59,"M",1,"College","Single","$60K - $80K",53,2,3,3,14979,0,14979,530,10,0
804867183,"Existing Customer",37,"M",3,"Unknown","Married","$60K - $80K",30,6,2,4,16043,0,16043,2599,47,0
778523733,"Existing Customer",38,"M",3,"Graduate","Single","$80K - $120K",31,6,1,2,13637,0,13637,3625,73,0
708697983,"Existing Customer",56,"M",0,"High School","Unknown","$120K +",49,2,2,2,34516,2156,32360,8766,78,0.062
779084208,"Attrited Customer",43,"F",3,"High School","Divorced","Less than $40K",24,4,2,2,1662,613,1049,2326,31,0.369
713352183,"Existing Customer",30,"M",1,"Post-Graduate","Married","Less than $40K",17,5,1,2,7173,1227,5946,1793,33,0.171
715447008,"Existing Customer",50,"F",3,"Graduate","Married","Less than $40K",36,2,3,2,2999,1817,1182,5119,83,0.606
711701958,"Existing Customer",48,"M",1,"Unknown","Single","$60K - $80K",38,3,3,3,11367,1999,9368,4175,63,0.176
720205608,"Existing Customer",52,"F",1,"Uneducated","Married","Unknown",36,6,1,1,4222,0,4222,4487,77,0
709910733,"Existing Customer",49,"F",4,"High School","Single","Unknown",30,2,3,2,34516,1963,32553,13174,86,0.057
819202533,"Existing Customer",57,"M",1,"Doctorate","Married","$80K - $120K",52,3,2,3,10378,1540,8838,1306,32,0.148
714946908,"Existing Customer",61,"M",1,"Uneducated","Single","$40K - $60K",36,6,1,1,5039,1352,3687,3300,68,0.268
714687858,"Existing Customer",49,"F",1,"Graduate","Single","Less than $40K",41,6,1,3,1438.3,0,1438.3,4538,82,0
709245783,"Existing Customer",44,"F",3,"Graduate","Married","Unknown",27,5,1,1,7751,1965,5786,4543,90,0.254
789097833,"Existing Customer",39,"F",0,"High School","Single","Less than $40K",27,4,3,3,3927,720,3207,4230,93,0.183
779320983,"Existing Customer",46,"M",4,"Uneducated","Single","$80K - $120K",28,4,3,2,19843,1178,18665,1638,49,0.059
714479358,"Attrited Customer",51,"M",3,"Graduate","Single","$80K - $120K",36,6,3,3,3610,1554,2056,2216,34,0.43
720616908,"Existing Customer",54,"M",1,"Uneducated","Single","$120K +",36,5,1,2,34516,0,34516,3918,67,0
712660308,"Attrited Customer",44,"F",1,"High School","Single","Less than $40K",36,2,3,3,1895,0,1895,2472,40,0
715480983,"Existing Customer",55,"F",2,"College","Single","Less than $40K",36,5,2,3,5719,892,4827,3403,68,0.156
719671383,"Existing Customer",40,"F",3,"Uneducated","Unknown","Less than $40K",30,2,3,2,2969,0,2969,4109,70,0
710816358,"Existing Customer",29,"M",1,"Post-Graduate","Married","Less than $40K",18,4,3,2,2963,1466,1497,2523,48,0.495
718455633,"Existing Customer",60,"F",0,"Graduate","Single","Unknown",55,4,3,2,7469,2517,4952,16328,124,0.337
807349158,"Existing Customer",36,"M",4,"Doctorate","Divorced","$120K +",31,4,3,4,34516,1491,33025,2243,60,0.043
715000383,"Existing Customer",55,"M",3,"Uneducated","Single","$80K - $120K",46,4,2,3,13598,852,12746,4047,76,0.063
788989083,"Existing Customer",57,"F",3,"College","Single","$40K - $60K",44,3,1,2,2817,1864,953,4535,82,0.662
779349783,"Existing Customer",46,"M",3,"Doctorate","Married","$60K - $80K",31,2,2,2,21161,1198,19963,13119,104,0.057
719724933,"Existing Customer",58,"F",1,"Uneducated","Married","Less than $40K",51,5,4,2,2220,1240,980,4396,78,0.559
716551533,"Existing Customer",47,"F",1,"High School","Single","Unknown",36,2,1,3,2874,2201,673,4779,86,0.766
804403908,"Existing Customer",50,"M",3,"Graduate","Single","$60K - $80K",45,4,2,3,21872,1118,20754,1806,31,0.051
714621183,"Existing Customer",39,"F",3,"Graduate","Single","Less than $40K",36,4,3,4,2650,1646,1004,4512,80,0.621
753094533,"Existing Customer",51,"M",3,"Uneducated","Married","$80K - $120K",44,3,3,3,24028,0,24028,3531,73,0
779327733,"Existing Customer",43,"M",1,"Graduate","Divorced","$60K - $80K",25,4,3,3,1783,1014,769,3861,81,0.569
713972658,"Existing Customer",56,"F",2,"Graduate","Married","Unknown",36,3,3,2,5335,996,4339,1454,43,0.187
780730008,"Existing Customer",51,"M",2,"College","Single","$120K +",36,2,2,2,3477,752,2725,13627,120,0.216
718246458,"Existing Customer",53,"M",3,"Graduate","Single","$80K - $120K",45,2,1,2,24262,1984,22278,8241,105,0.082
717087858,"Existing Customer",51,"F",1,"Graduate","Single","$40K - $60K",36,3,3,1,2146,967,1179,4253,74,0.451
712665633,"Existing Customer",43,"F",3,"Graduate","Married","Less than $40K",30,6,1,4,12952,1864,11088,3472,51,0.144
711205758,"Attrited Customer",45,"M",3,"College","Single","$80K - $120K",33,1,3,3,34516,0,34516,2534,43,0
718797558,"Existing Customer",39,"F",1,"Graduate","Married","Unknown",30,3,2,3,2917,1357,1560,2422,46,0.465
716675358,"Existing Customer",54,"F",1,"College","Single","Less than $40K",41,5,2,2,3478,941,2537,4607,83,0.271
718708908,"Existing Customer",58,"M",4,"Graduate","Married","$60K - $80K",36,6,2,4,5967,2350,3617,1426,29,0.394
717908208,"Existing Customer",43,"F",3,"Graduate","Divorced","Less than $40K",36,6,1,2,2525,1595,930,4859,82,0.632
710727333,"Attrited Customer",49,"F",3,"High School","Married","Less than $40K",36,4,2,2,1763,0,1763,2813,43,0
712105533,"Existing Customer",32,"M",2,"High School","Single","$40K - $60K",20,6,3,4,2235,1638,597,2905,56,0.733
708633783,"Attrited Customer",43,"M",3,"Uneducated","Single","$80K - $120K",30,3,2,4,11336,0,11336,1809,39,0
720626058,"Existing Customer",37,"M",1,"Graduate","Single","$80K - $120K",24,4,4,4,34516,934,33582,1768,52,0.027
815320383,"Attrited Customer",46,"F",3,"Unknown","Unknown","Less than $40K",41,5,3,2,4710,0,4710,2690,43,0
806908608,"Existing Customer",46,"F",2,"Unknown","Married","Less than $40K",41,5,2,3,1438.3,0,1438.3,3942,78,0
713872008,"Existing Customer",49,"F",1,"High School","Married","Less than $40K",42,1,3,1,2215,1347,868,4656,72,0.608
713167383,"Existing Customer",57,"F",3,"High School","Single","Less than $40K",46,1,2,2,2298,1540,758,5154,81,0.67
721473783,"Existing Customer",35,"F",3,"Graduate","Married","Less than $40K",21,3,1,1,2272,604,1668,4614,75,0.266
713746608,"Existing Customer",48,"F",2,"High School","Married","Unknown",37,3,2,2,8446,908,7538,4240,67,0.108
780040758,"Existing Customer",40,"F",4,"College","Married","$40K - $60K",24,5,3,2,2606,1818,788,1999,50,0.698
715534083,"Existing Customer",46,"F",2,"College","Single","Unknown",33,2,3,1,2168,1334,834,4043,73,0.615
708621408,"Existing Customer",39,"F",1,"Unknown","Single","Less than $40K",28,3,2,1,1438.3,0,1438.3,4173,82,0
712029783,"Existing Customer",42,"M",4,"Uneducated","Single","$80K - $120K",36,2,2,1,34516,2253,32263,7836,93,0.065
713295183,"Existing Customer",48,"M",2,"Graduate","Divorced","$80K - $120K",29,6,2,3,24446,1854,22592,3897,75,0.076
768544833,"Existing Customer",45,"F",4,"Uneducated","Single","Less than $40K",39,6,2,3,2202,1414,788,4531,77,0.642
718730283,"Existing Customer",38,"F",2,"Graduate","Married","Less than $40K",18,5,3,3,1686,1206,480,4891,68,0.715
719250783,"Existing Customer",41,"F",1,"High School","Single","Less than $40K",31,4,2,1,1998,0,1998,4637,68,0
711549408,"Existing Customer",51,"M",3,"Uneducated","Married","$80K - $120K",42,5,1,3,1507,961,546,4126,90,0.638
717001908,"Attrited Customer",41,"F",5,"Graduate","Married","Less than $40K",28,6,2,2,6936,0,6936,2874,44,0
714103083,"Existing Customer",47,"M",2,"College","Married","$40K - $60K",37,6,3,1,3263,1525,1738,14649,110,0.467
715550508,"Existing Customer",45,"F",3,"Unknown","Married","Unknown",28,5,1,2,2535,2440,95,1312,20,0.963
709585758,"Existing Customer",41,"M",4,"High School","Single","$120K +",28,5,1,4,34516,0,34516,4004,86,0
719239158,"Existing Customer",48,"M",3,"High School","Married","$60K - $80K",39,4,3,2,5448,0,5448,3912,72,0
768460908,"Existing Customer",59,"M",1,"Graduate","Single","$40K - $60K",53,3,3,3,6035,1392,4643,1551,32,0.231
718663983,"Existing Customer",38,"F",1,"Doctorate","Single","Less than $40K",36,2,2,2,3466,2517,949,13140,94,0.726
813261408,"Existing Customer",52,"F",1,"Uneducated","Married","$40K - $60K",47,6,3,3,2151,1338,813,3446,58,0.622
717945108,"Existing Customer",49,"F",3,"Graduate","Unknown","$40K - $60K",36,6,1,2,3088,1477,1611,5095,77,0.478
713512308,"Attrited Customer",50,"F",0,"Graduate","Single","Less than $40K",41,2,3,1,3423,0,3423,2229,45,0
715588908,"Existing Customer",42,"F",4,"Graduate","Single","Less than $40K",32,3,2,3,6158,0,6158,3132,66,0
715055433,"Existing Customer",36,"M",3,"Uneducated","Married","$60K - $80K",22,6,3,4,2224,1772,452,2004,44,0.797
786557358,"Existing Customer",44,"F",1,"Unknown","Married","Less than $40K",38,5,2,4,3242,799,2443,1424,37,0.246
716878533,"Existing Customer",55,"M",2,"Unknown","Married","$80K - $120K",46,4,1,1,10979,1889,9090,1425,33,0.172
714725883,"Existing Customer",41,"F",4,"Graduate","Divorced","$40K - $60K",36,4,1,0,5654,2470,3184,15123,111,0.437
709500183,"Attrited Customer",46,"F",3,"College","Married","Less than $40K",36,2,3,4,1804,0,1804,2077,44,0
709112508,"Attrited Customer",42,"F",3,"College","Single","Less than $40K",36,3,3,4,3802,1300,2502,2165,36,0.342
718772133,"Existing Customer",56,"M",3,"Graduate","Married","$80K - $120K",47,6,3,3,10230,1082,9148,1484,34,0.106
711136008,"Existing Customer",41,"M",4,"Graduate","Single","$80K - $120K",33,1,1,3,31560,1298,30262,7641,93,0.041
794627208,"Existing Customer",43,"M",1,"High School","Married","$60K - $80K",23,4,3,2,7189,1550,5639,1935,52,0.216
713592408,"Existing Customer",43,"F",3,"High School","Married","Less than $40K",28,3,3,2,2590,0,2590,3391,66,0
785285883,"Attrited Customer",49,"F",3,"Graduate","Single","Less than $40K",43,6,3,4,1675,0,1675,2622,53,0
